# Event number 	 W pT  	 | Delta eta j1,j2 | 	 Delta R j1,j2 	 m j1, j2 	 N of jets	 j1 pT 	 j2 pT 	 Centrality 	 | Delta Phi l1, l2 | 	 m l1, l2 	 Empty 	 | Delta eta l1,l2 | 	 mET (scalar) 	 mET phi 	 dijet min distance 	 Zeppenfeld Var 	 Cos |tot phi| 	 Cos | deltaphi(j1+j2,l1+l2) | 	 Empty 	 Weight

3680337585884973908	141.352	5.87466	5.86075	737.468	2	41.7179	36.7875	1.16813	2.24883	144.962	0	1.73895	396.641	3.70406	2.96861	1.44578	0.934754	-0.94884	0	0.00142863
5286422344224820444	124.614	2.51731	3.76814	532.673	2	154.779	126.965	0.069317	3.79938	78.3065	0	0.0364992	733.395	3.05896	0.313731	1.98675	-0.918496	0.762666	0	0.273335
12227655742635550018	245.191	3.38349	4.43162	1534.19	2	334.988	223.252	0.0961641	2.83657	87.6059	0	0.213572	679.54	4.5431	0.878695	2.63137	-0.93322	-0.864918	0	0.0527311
14231193815721542725	147.717	4.31494	4.95322	1143.02	2	184.489	92.6582	0.0260948	1.05656	410.285	0	3.71093	582.891	3.20551	1.12576	0.0417612	0.131445	-0.998886	0	4.56531e-07
16574119261346737534	126.12	4.60975	4.61795	549.256	4	62.0339	49.1646	0.115156	1.50533	73.7564	0	0.699041	509.551	4.24699	0.643449	1.88739	0.808119	-0.327253	0	0.000158082
5181337134581688999	672.694	2.60783	3.09223	720.47	4	326.005	113.048	-0.783363	5.81679	45.7899	0	0.344659	846.412	0.0278168	2.55269	2.0022	0.997433	-0.972257	0	0.000851611
3009381485567810691	591.368	2.97067	3.12943	622.232	3	233.834	89.3493	0.947836	0.255322	235.865	0	0.970478	1134.2	4.69258	2.20131	0.070607	-0.945847	-0.935624	0	0.0146048
16811318507104975558	45.6845	5.10184	5.67	1259.31	4	111.64	85.5487	1.95296	1.79109	61.6788	0	0.0807445	511.123	5.6881	1.97143	0.968827	-0.121086	-0.655117	0	4.34147e-10
14092513936344219531	270.637	4.27549	4.6109	1237.35	5	160.618	131.577	-0.499446	0.69734	294.351	0	2.75636	779.512	2.3427	2.15553	0.343892	0.263107	-0.955957	0	0.261004
2626150069535545939	73.1385	3.52126	4.64785	934.398	2	180.96	134.482	-0.242386	2.72446	154.283	0	1.82223	561.161	1.42648	1.73684	2.44986	0.0206198	-0.980533	0	1.53209
6862341144378937780	140.771	5.344	5.59415	684.082	2	47.8908	46.6018	0.0473343	3.61038	79.1292	0	0.616016	258.064	2.54743	1.18508	3.27101	-0.955204	-0.299744	0	0.0246649
11925369831824533561	24.7945	3.54822	4.7235	537.26	3	120.859	64.7948	0.0666481	2.61721	107.476	0	0.980464	453.347	0.132813	1.14402	2.15448	-0.63535	-0.809741	0	0.0446414
12014736928232255814	92.8169	4.53023	5.20077	1060.92	2	139.617	85.1299	1.40884	0.891746	102.348	0	1.27909	439.544	4.94939	2.38714	0.10179	0.940774	-0.999985	0	1.74842
1232672149469016109	138.496	2.50938	3.65047	608.251	2	213.658	122.202	0.650329	2.73417	107.542	0	0.104788	693.747	2.48182	1.66428	1.2838	-0.0224971	-0.984197	0	0.0394313
16290539122629485369	105.975	3.72689	4.0355	537.999	3	104.108	66.6052	0.304606	1.03583	42.3641	0	0.139272	409.448	0.746722	1.30268	1.58332	0.86653	-0.791602	0	0.101669
14959345692562430734	97.8258	3.42399	4.10137	639.754	2	167.639	76.0029	-0.950681	0.608735	105.811	0	2.179	433.608	4.18517	2.23959	1.84478	-0.722284	-0.817701	0	0.00293844
11369175947667612146	186.083	3.46747	4.55166	1371.08	3	256.815	214.927	0.514288	2.18049	147.554	0	0.637632	844.99	3.76187	1.78353	1.46794	0.70391	-0.999131	0	0.124698
9881581824579243805	82.1624	3.93581	4.72618	1152.05	2	166.052	150.799	1.51803	5.49732	59.2856	0	0.47803	617.809	3.73057	2.12285	0.282304	-0.768942	-0.996383	0	0.874835
12043349967209007342	302.43	3.31949	4.09238	695.563	2	253.777	65.1415	0.510101	2.61105	139.332	0	0.875826	767.24	0.599123	0.833146	0.377868	0.0990295	-0.984311	0	0.111364
2933472217343784495	127.14	4.71275	5.61824	768.803	3	104.637	49.7779	1.16662	1.69063	62.8132	0	0.647074	345.619	3.43155	1.27697	0.616023	0.999787	-0.905193	0	0.000159052
5040562277568448208	97.5801	2.5524	3.97423	550.594	2	187.999	107.501	-0.344056	1.88106	77.4937	0	1.22536	466.854	0.856686	1.23216	1.71336	0.948391	-0.571211	0	0.0209341
16256024117241207177	158.13	3.75078	4.30785	922.255	3	255.875	76.0337	-0.912121	2.75484	258.182	0	2.227	700.531	3.65154	1.13555	2.38502	0.827658	-0.939932	0	0.131492
4665573596099570109	66.5163	2.73924	3.75714	694.992	3	218.042	128.549	0.490378	3.54904	171.603	0	1.64	639.326	2.88561	1.69593	1.57127	0.192761	0.277789	0	0.501103
14832985814648605517	132.238	3.72159	4.66022	618.21	4	108.815	80.8803	-0.644861	0.298294	55.7987	0	1.16195	496.203	0.582816	0.529039	1.81593	0.793328	-0.717452	0	0.000639782
973307860998911339	216.443	2.98112	4.01381	830.382	2	191.165	166.518	-0.798306	3.87395	137.228	0	0.908842	694.817	5.49483	0.494658	2.6739	-0.461604	-0.993221	0	0.289105
12422532919609315890	186.246	4.69086	4.67779	658.686	3	74.0869	54.7196	1.65375	2.45589	123.375	0	0.113105	385.384	4.11997	1.88089	0.963423	-0.604981	-0.979576	0	0.0885033
15164899129640667457	394.203	4.18354	4.23902	1276.14	4	177.529	142.972	1.64692	1.10264	112.965	0	0.185123	971.857	1.90069	2.7177	0.355236	-0.650907	-0.916071	0	7.50031e-07
8580189577458941156	256.602	2.7463	3.87586	627.993	2	282.449	79.2389	-0.794729	5.5924	60.3074	0	0.0830797	631.737	0.559475	0.876371	2.16182	0.858701	-0.99376	0	0.00300802
13770478178582391556	228.58	3.87749	4.55479	799.449	2	191.773	66.8289	0.515988	2.52869	205.215	0	0.940709	705.432	1.67646	1.49647	0.874282	-0.876167	-0.957145	0	0.590452
10677026072256874439	95.0987	4.67512	5.11867	976.058	2	103.984	84.5437	0.448838	3.47322	91.8539	0	0.690681	427.604	5.08896	1.14124	1.01546	-0.643739	-0.938842	0	0.0507788
10153954764960635260	73.1803	5.65149	5.64266	679.443	2	51.1968	31.8388	2.19076	4.08487	77.1277	0	0.374964	388.451	3.92876	2.57283	1.00341	-0.9345	-0.877101	0	0.0024054
17291578940486876654	87.9698	3.00474	4.2983	537.708	2	138.567	93.4729	0.529047	3.35316	70.6448	0	0.516774	420.079	2.35479	1.12571	0.973883	-0.999342	-0.949781	0	0.310553
4098477459290732580	75.6199	5.41509	5.9308	1095.22	2	125.145	42.3337	-0.22242	1.3646	187.139	0	2.42547	517.149	0.767664	2.77377	2.75161	-0.767423	-0.965212	0	0.359077
1156164757192423827	237.495	3.07925	3.84209	650.285	4	242.792	74.9002	0.348159	1.95756	115.097	0	0.40804	715.864	4.33532	2.18595	1.40229	-0.935284	-0.92021	0	0.622233
10448877979472701262	33.5985	4.86679	5.51055	538.91	2	56.0111	39.3688	0.834028	0.647602	48.2185	0	0.617071	438.943	0.728484	2.70752	1.36132	-0.0835877	-0.869054	0	0.020651
8155840095201388645	154.141	3.31293	4.24585	607.54	2	146.323	85.8176	-2.60582	3.04168	150.213	0	1.39602	418.594	5.84392	2.70212	4.39582	0.532809	-0.999695	0	0.00501599
11561535842601253648	361.102	4.08247	4.58496	686.641	2	223.132	34.6455	1.0033	0.323369	74.3345	0	1.43709	544.898	5.73237	1.31217	0.076611	0.942951	-0.897528	0	0.184212
856400258837799067	635.194	2.63078	3.68841	1036.17	3	684.387	99.148	-0.53949	1.1161	270.611	0	0.71531	1551.74	4.24685	0.617778	1.33733	-0.676183	-0.999962	0	0.0131189
15512029199321224733	325.412	2.99269	3.97921	1463.19	3	418.481	234.347	-1.77342	1.00984	75.8918	0	1.04921	859.813	1.61492	2.37297	2.83842	-0.678947	-0.914483	0	0.00170941
15026244598227886930	186.02	2.98251	3.24676	574.436	4	183.392	92.0542	0.660512	4.13615	205.442	0	0.919443	857.349	5.2368	2.38147	0.250679	-0.196138	-0.926306	0	1.8988e-05
11607109856553725393	57.9122	2.75077	4.07419	2799.51	7	807.6	546.597	-0.752062	5.91179	31.5001	0	0.761945	2174.07	2.49494	0.0950419	1.87609	-0.877366	0.933442	0	7.9756e-05
5052009922809486239	127.637	2.50623	3.9973	743.658	2	266.909	143.779	-1.65751	0.356348	296.678	0	3.72645	689.934	0.185345	0.466136	0.577994	-0.00299247	-0.970689	0	0.121453
1370694537578451127	371.148	3.11222	3.92408	1382.53	2	352.688	221.513	0.362729	1.63762	102.827	0	0.684253	889.453	2.49198	0.496916	0.471122	-0.430207	-0.958267	0	0.0480389
8391081530935401359	91.6464	3.51313	4.48193	645.378	5	131.731	88.8386	-1.23582	1.75801	149.092	0	0.286101	943.13	4.92231	1.64779	3.27345	0.985845	-0.875514	0	3.82341e-13
10776555459361899561	637.627	3.10128	3.93283	1027.27	3	414.95	106.657	0.137196	0.069462	44.882	0	1.11413	863.225	0.343581	1.83869	0.949668	0.26196	-0.773202	0	0.0122244
2202976875403831022	340.229	4.33056	4.65879	1530.24	3	292.89	103.986	0.56006	2.13376	328.329	0	0.842061	983.212	4.17782	1.6748	1.22	-0.834309	-0.99921	0	0.188141
1492452122399152854	276.117	4.34	5.29147	2624.52	3	411.599	212.568	0.38093	1.94927	120.082	0	0.657282	1040.89	4.56228	0.588162	2.06787	-0.996994	-0.99649	0	0.270491
13593193220018261838	99.1132	5.92832	6.5379	1816.62	3	191.96	45.5426	2.39179	0.514286	70.4423	0	0.979511	551.579	0.221796	2.53884	0.123291	-0.952772	-0.999581	0	0.229996
16670592891008876678	178.394	4.62313	4.83129	635.286	3	70.9903	55.8195	-1.6833	3.45781	109.277	0	0.59556	434.978	0.244194	2.04624	4.62568	0.983147	-0.998308	0	0.236545
14703870589635277135	141.791	4.21098	4.84621	1366.68	3	220.386	122.921	-0.586021	1.60631	187.902	0	2.64287	528.609	2.53811	2.15343	2.44102	0.916458	-0.909285	0	0.0912306
16111270354036880496	499.078	3.66279	4.07582	2106.58	2	356.261	315.488	-0.39309	0.659462	196.137	0	1.60086	1064.04	2.38168	2.39205	0.954726	-0.33538	-0.985229	0	0.00466507
17404409511184671581	100.416	3.80575	4.8745	856.896	2	184.357	84.5458	0.570264	0.917486	41.4037	0	0.391257	544.088	0.21758	0.556601	1.25297	-0.736727	-0.901034	0	1.71775
17112823341799714038	32.415	3.48847	4.56103	510.094	2	92.5365	80.6211	-0.843318	0.957848	50.514	0	0.816791	404.017	3.61113	0.471073	2.20889	-0.225001	-0.0769047	0	0.0423756
9103369844818581013	53.2789	3.23254	3.78833	713.505	5	164.891	117.246	-1.59117	1.16354	48.2231	0	0.468554	670.692	0.120895	2.37886	3.13898	-0.781579	-0.981418	0	9.32751e-06
5985417028184467606	628.797	3.11502	3.44649	507.273	2	334.256	34.2806	-0.11704	0.25013	59.2847	0	0.96024	636.982	5.41287	2.61901	1.01688	0.317078	-0.93295	0	0.109676
2376547237224349059	498.043	3.46616	3.78163	971.55	3	370.079	79.7364	0.278325	0.58468	41.0572	0	0.19818	893.132	1.05856	2.542	1.4194	-0.912794	-0.93523	0	0.160662
13115662996430813875	114.044	3.96461	4.96209	1390.36	2	220.798	159.94	-0.380931	3.04667	78.9234	0	0.158864	493.769	4.69084	1.24845	3.24441	-0.312589	-0.700429	0	0.0988779
1102497691114358442	123.777	3.75643	4.65566	603.982	3	140.349	57.9468	-1.45537	3.70998	168.312	0	1.77808	495.471	6.01287	1.25674	3.03941	0.878282	-0.825677	0	0.0085036
10743808264214920368	158.385	2.66759	3.18946	1672.72	3	511.239	368.641	-0.0175771	4.30936	63.9937	0	1.52221	1583.69	3.98796	0.0246415	1.29158	-0.988625	-0.0933944	0	0.460453
10735901855220916901	168.465	3.41141	3.93252	609.714	2	164.045	72.7934	-0.354118	1.06411	142.353	0	1.87475	491.39	2.6002	2.6224	1.74285	0.999106	-0.972448	0	0.00285522
